,¶©µ¥ºÅ,SKU±àÂë,ÊýÁ¿
0,0,0,10
1,0,2,5
2,0,4,8
3,0,5,18
4,0,6,17
5,0,7,10
6,0,15,15
7,0,19,13
8,0,20,14
9,0,23,5
10,0,24,7
11,0,29,11
12,1,0,11
13,1,3,5
14,1,5,6
15,1,17,9
16,1,20,14
17,1,24,17
18,1,26,13
19,1,27,10
20,1,28,9
21,1,29,10
22,2,0,6
23,2,2,8
24,2,5,17
25,2,6,13
26,2,14,5
27,2,16,15
28,2,17,15
29,2,18,19
30,2,19,11
31,2,22,10
32,2,24,16
33,2,25,14
34,2,27,11
35,3,2,7
36,3,3,14
37,3,7,7
38,3,14,12
39,3,17,19
40,3,18,13
41,3,26,17
42,3,27,16
43,4,0,8
44,4,1,14
45,4,2,19
46,4,5,19
47,4,9,9
48,4,12,17
49,4,13,14
50,4,17,9
51,4,18,12
52,4,24,6
53,4,26,18
54,4,27,14
55,4,28,19
56,4,29,7
57,5,0,7
58,5,8,9
59,5,13,11
60,5,14,8
61,5,15,9
62,5,16,12
63,5,18,13
64,5,19,9
65,5,21,11
66,5,27,8
67,6,0,16
68,6,1,9
69,6,3,18
70,6,5,12
71,6,8,10
72,6,10,18
73,6,11,19
74,6,15,10
75,6,16,16
76,6,18,9
77,6,21,17
78,6,22,8
79,6,23,12
80,7,0,9
81,7,1,18
82,7,2,12
83,7,4,19
84,7,5,12
85,7,11,14
86,7,12,16
87,7,13,16
88,7,18,12
89,7,19,14
90,7,21,8
91,7,23,12
92,7,26,19
93,7,28,16
94,8,6,17
95,8,8,5
96,8,15,16
97,8,18,18
98,8,27,9
99,8,28,9
100,9,0,9
101,9,3,13
102,9,4,5
103,9,6,5
104,9,8,7
105,9,15,18
106,9,22,18
107,9,24,17
108,9,25,17
109,9,27,5
110,9,28,19
111,9,29,18
112,10,1,13
113,10,4,8
114,10,6,13
115,10,8,16
116,10,10,15
117,10,13,10
118,10,14,9
119,10,16,16
120,10,19,16
121,10,22,10
122,10,23,16
123,10,28,8
124,11,5,5
125,11,7,18
126,11,10,9
127,11,21,5
128,11,26,19
129,11,27,17
130,11,28,12
131,12,0,7
132,12,3,15
133,12,14,8
134,12,18,9
135,12,20,10
136,12,21,18
137,13,0,18
138,13,1,12
139,13,3,17
140,13,9,12
141,13,13,6
142,13,15,12
143,13,17,6
144,13,24,7
145,13,26,15
146,13,29,15
147,14,1,5
148,14,5,12
149,14,6,18
150,14,7,16
151,14,9,14
152,14,10,12
153,14,11,11
154,14,12,16
155,14,16,15
156,14,19,9
157,14,20,9
158,14,24,6
159,14,28,14
160,15,6,5
161,15,9,10
162,15,11,11
163,15,15,8
164,15,19,5
165,15,24,7
166,15,25,5
167,15,29,9
168,16,3,18
169,16,6,18
170,16,9,18
171,16,11,15
172,16,19,19
173,16,20,10
174,16,25,19
175,16,26,18
176,16,29,8
177,17,2,11
178,17,3,15
179,17,4,19
180,17,9,16
181,17,12,5
182,17,13,9
183,17,14,12
184,17,16,18
185,17,24,12
186,17,25,8
187,17,27,13
188,17,28,12
189,17,29,11
190,18,4,16
191,18,5,7
192,18,6,7
193,18,10,16
194,18,12,10
195,18,13,16
196,18,14,18
197,18,15,7
198,18,19,18
199,18,21,7
200,18,22,14
201,18,26,18
202,18,29,10
203,19,0,15
204,19,2,14
205,19,3,10
206,19,8,16
207,19,11,11
208,19,13,18
209,19,14,9
210,19,16,17
211,19,22,6
212,19,23,11
213,19,24,9
214,19,27,14
215,19,29,15
216,20,0,10
217,20,3,6
218,20,8,8
219,20,11,5
220,20,25,10
221,20,27,19
222,20,29,8
223,21,4,15
224,21,5,9
225,21,8,17
226,21,10,8
227,21,22,5
228,21,24,18
229,21,26,5
230,22,2,5
231,22,3,19
232,22,4,19
233,22,9,16
234,22,11,19
235,22,14,19
236,22,18,12
237,22,22,19
238,22,23,18
239,22,24,12
240,22,26,16
241,22,28,16
242,23,0,7
243,23,2,9
244,23,5,13
245,23,6,8
246,23,9,7
247,23,10,15
248,23,13,19
249,23,15,7
250,23,16,13
251,23,19,14
252,23,23,16
253,24,2,5
254,24,6,5
255,24,15,8
256,24,17,15
257,24,18,12
258,24,20,10
259,24,25,10
260,24,29,19
261,25,5,19
262,25,8,17
263,25,10,16
264,25,12,6
265,25,21,7
266,26,6,8
267,26,8,16
268,26,10,11
269,26,11,6
270,26,13,19
271,26,16,17
272,26,19,15
273,26,27,19
274,26,28,18
275,27,5,8
276,27,7,18
277,27,9,10
278,27,13,7
279,27,17,8
280,27,25,5
281,27,28,18
282,28,2,18
283,28,4,9
284,28,5,6
285,28,10,7
286,28,13,17
287,28,15,5
288,28,16,14
289,28,17,8
290,28,23,13
291,28,24,7
292,28,25,12
293,28,29,19
294,29,1,7
295,29,2,11
296,29,3,14
297,29,9,8
298,29,10,19
299,29,12,6
300,29,14,19
301,29,24,18
302,29,27,8
303,29,28,7
304,30,1,13
305,30,10,10
306,30,17,19
307,30,24,6
308,30,29,17
309,31,0,8
310,31,4,12
311,31,6,10
312,31,8,12
313,31,12,17
314,31,13,7
315,31,14,14
316,31,20,19
317,31,24,9
318,32,1,19
319,32,3,6
320,32,4,10
321,32,7,18
322,32,13,5
323,32,14,12
324,32,17,16
325,32,18,12
326,32,23,6
327,32,28,7
328,33,0,5
329,33,1,12
330,33,2,19
331,33,4,7
332,33,8,13
333,33,10,12
334,33,13,10
335,33,17,6
336,33,18,12
337,33,19,19
338,33,26,5
339,33,27,9
340,33,28,11
341,34,2,6
342,34,6,6
343,34,7,15
344,34,10,15
345,34,11,17
346,34,13,16
347,34,16,11
348,34,17,9
349,34,18,18
350,34,19,7
351,34,20,9
352,34,21,19
353,34,22,7
354,34,29,16
355,35,3,13
356,35,7,14
357,35,11,16
358,35,22,13
359,35,27,8
360,36,12,9
361,36,13,7
362,36,14,17
363,36,15,11
364,36,19,11
365,36,21,19
366,36,29,9
367,37,0,5
368,37,2,16
369,37,5,13
370,37,7,11
371,37,8,14
372,37,9,9
373,37,11,10
374,37,13,10
375,37,17,12
376,37,18,8
377,37,20,11
378,37,22,8
379,38,1,15
380,38,3,6
381,38,7,5
382,38,8,8
383,38,9,9
384,38,12,11
385,38,15,18
386,38,16,19
387,38,20,17
388,38,25,8
389,38,27,19
390,38,28,14
391,38,29,10
392,39,1,11
393,39,3,5
394,39,5,15
395,39,6,6
